Name,Height,Weight,Base Experience,Abilities,Types,HP,Attack,Defense,Special Attack,Special Defense,Speed
Alakazam,15,480,225,"['synchronize', 'inner-focus', 'magic-guard']",['psychic'],55,50,45,135,95,120
Machop,8,195,61,"['guts', 'no-guard', 'steadfast']",['fighting'],70,80,50,35,35,35
Machoke,15,705,142,"['guts', 'no-guard', 'steadfast']",['fighting'],80,100,70,50,60,45
Machamp,16,1300,227,"['guts', 'no-guard', 'steadfast']",['fighting'],90,130,80,65,85,55
Bellsprout,7,40,60,"['chlorophyll', 'gluttony']","['grass', 'poison']",50,75,35,70,30,40
Weepinbell,10,64,137,"['chlorophyll', 'gluttony']","['grass', 'poison']",65,90,50,85,45,55
Victreebel,17,155,221,"['chlorophyll', 'gluttony']","['grass', 'poison']",80,105,65,100,70,70
Tentacool,9,455,67,"['clear-body', 'liquid-ooze', 'rain-dish']","['water', 'poison']",40,40,35,50,100,70
Tentacruel,16,550,180,"['clear-body', 'liquid-ooze', 'rain-dish']","['water', 'poison']",80,70,65,80,120,100
Geodude,4,200,60,"['rock-head', 'sturdy', 'sand-veil']","['rock', 'ground']",40,80,100,30,30,20
Graveler,10,1050,137,"['rock-head', 'sturdy', 'sand-veil']","['rock', 'ground']",55,95,115,45,45,35
Golem,14,3000,223,"['rock-head', 'sturdy', 'sand-veil']","['rock', 'ground']",80,120,130,55,65,45
Ponyta,10,300,82,"['run-away', 'flash-fire', 'flame-body']",['fire'],50,85,55,65,65,90
Rapidash,17,950,175,"['run-away', 'flash-fire', 'flame-body']",['fire'],65,100,70,80,80,105
Slowpoke,12,360,63,"['oblivious', 'own-tempo', 'regenerator']","['water', 'psychic']",90,65,65,40,40,15
Slowbro,16,785,172,"['oblivious', 'own-tempo', 'regenerator']","['water', 'psychic']",95,75,110,100,80,30
Magnemite,3,60,65,"['magnet-pull', 'sturdy', 'analytic']","['electric', 'steel']",25,35,70,95,55,45
Magneton,10,600,163,"['magnet-pull', 'sturdy', 'analytic']","['electric', 'steel']",50,60,95,120,70,70
Farfetchd,8,150,132,"['keen-eye', 'inner-focus', 'defiant']","['normal', 'flying']",52,90,55,58,62,60
Doduo,14,392,62,"['run-away', 'early-bird', 'tangled-feet']","['normal', 'flying']",35,85,45,35,35,75
Dodrio,18,852,165,"['run-away', 'early-bird', 'tangled-feet']","['normal', 'flying']",60,110,70,60,60,110
Seel,11,900,65,"['thick-fat', 'hydration', 'ice-body']",['water'],65,45,55,45,70,45
Dewgong,17,1200,166,"['thick-fat', 'hydration', 'ice-body']","['water', 'ice']",90,70,80,70,95,70
Grimer,9,300,65,"['stench', 'sticky-hold', 'poison-touch']",['poison'],80,80,50,40,50,25
Muk,12,300,175,"['stench', 'sticky-hold', 'poison-touch']",['poison'],105,105,75,65,100,50
Shellder,3,40,61,"['shell-armor', 'skill-link', 'overcoat']",['water'],30,65,100,45,25,40
Cloyster,15,1325,184,"['shell-armor', 'skill-link', 'overcoat']","['water', 'ice']",50,95,180,85,45,70
Gastly,13,1,62,['levitate'],"['ghost', 'poison']",30,35,30,100,35,80
Haunter,16,1,142,['levitate'],"['ghost', 'poison']",45,50,45,115,55,95
Gengar,15,405,225,['cursed-body'],"['ghost', 'poison']",60,65,60,130,75,110
Onix,88,2100,77,"['rock-head', 'sturdy', 'weak-armor']","['rock', 'ground']",35,45,160,30,45,70
Drowzee,10,324,66,"['insomnia', 'forewarn', 'inner-focus']",['psychic'],60,48,45,43,90,42
Hypno,16,756,169,"['insomnia', 'forewarn', 'inner-focus']",['psychic'],85,73,70,73,115,67
Krabby,4,65,65,"['hyper-cutter', 'shell-armor', 'sheer-force']",['water'],30,105,90,25,25,50
Kingler,13,600,166,"['hyper-cutter', 'shell-armor', 'sheer-force']",['water'],55,130,115,50,50,75
Voltorb,5,104,66,"['soundproof', 'static', 'aftermath']",['electric'],40,30,50,55,55,100
Electrode,12,666,172,"['soundproof', 'static', 'aftermath']",['electric'],60,50,70,80,80,150
Exeggcute,4,25,65,"['chlorophyll', 'harvest']","['grass', 'psychic']",60,40,80,60,45,40
Exeggutor,20,1200,186,"['chlorophyll', 'harvest']","['grass', 'psychic']",95,95,85,125,75,55
Cubone,4,65,64,"['rock-head', 'lightning-rod', 'battle-armor']",['ground'],50,50,95,40,50,35
Marowak,10,450,149,"['rock-head', 'lightning-rod', 'battle-armor']",['ground'],60,80,110,50,80,45
Hitmonlee,15,498,159,"['limber', 'reckless', 'unburden']",['fighting'],50,120,53,35,110,87
Hitmonchan,14,502,159,"['keen-eye', 'iron-fist', 'inner-focus']",['fighting'],50,105,79,35,110,76
Lickitung,12,655,77,"['own-tempo', 'oblivious', 'cloud-nine']",['normal'],90,55,75,60,75,30
Koffing,6,10,68,"['levitate', 'neutralizing-gas', 'stench']",['poison'],40,65,95,60,45,35
Weezing,12,95,172,"['levitate', 'neutralizing-gas', 'stench']",['poison'],65,90,120,85,70,60
Rhyhorn,10,1150,69,"['lightning-rod', 'rock-head', 'reckless']","['ground', 'rock']",80,85,95,30,30,25
Rhydon,19,1200,170,"['lightning-rod', 'rock-head', 'reckless']","['ground', 'rock']",105,130,120,45,45,40
Chansey,11,346,395,"['natural-cure', 'serene-grace', 'healer']",['normal'],250,5,5,35,105,50
Tangela,10,350,87,"['chlorophyll', 'leaf-guard', 'regenerator']",['grass'],65,55,115,100,40,60
Kangaskhan,22,800,172,"['early-bird', 'scrappy', 'inner-focus']",['normal'],105,95,80,40,80,90
Horsea,4,80,59,"['swift-swim', 'sniper', 'damp']",['water'],30,40,70,70,25,60
Seadra,12,250,154,"['poison-point', 'sniper', 'damp']",['water'],55,65,95,95,45,85
Goldeen,6,150,64,"['swift-swim', 'water-veil', 'lightning-rod']",['water'],45,67,60,35,50,63
Seaking,13,390,158,"['swift-swim', 'water-veil', 'lightning-rod']",['water'],80,92,65,65,80,68
Staryu,8,345,68,"['illuminate', 'natural-cure', 'analytic']",['water'],30,45,55,70,55,85
Starmie,11,800,182,"['illuminate', 'natural-cure', 'analytic']","['water', 'psychic']",60,75,85,100,85,115
Mr-Mime,13,545,161,"['soundproof', 'filter', 'technician']","['psychic', 'fairy']",40,45,65,100,120,90
Scyther,15,560,100,"['swarm', 'technician', 'steadfast']","['bug', 'flying']",70,110,80,55,80,105
Jynx,14,406,159,"['oblivious', 'forewarn', 'dry-skin']","['ice', 'psychic']",65,50,35,115,95,95
Electabuzz,11,300,172,"['static', 'vital-spirit']",['electric'],65,83,57,95,85,105
Magmar,13,445,173,"['flame-body', 'vital-spirit']",['fire'],65,95,57,100,85,93
Pinsir,15,550,175,"['hyper-cutter', 'mold-breaker', 'moxie']",['bug'],65,125,100,55,70,85
Tauros,14,884,172,"['intimidate', 'anger-point', 'sheer-force']",['normal'],75,100,95,40,70,110
Magikarp,9,100,40,"['swift-swim', 'rattled']",['water'],20,10,55,15,20,80
Gyarados,65,2350,189,"['intimidate', 'moxie']","['water', 'flying']",95,125,79,60,100,81
Lapras,25,2200,187,"['water-absorb', 'shell-armor', 'hydration']","['water', 'ice']",130,85,80,85,95,60
Ditto,3,40,101,"['limber', 'imposter']",['normal'],48,48,48,48,48,48
Eevee,3,65,65,"['run-away', 'adaptability', 'anticipation']",['normal'],55,55,50,45,65,55
Vaporeon,10,290,184,"['water-absorb', 'hydration']",['water'],130,65,60,110,95,65
Jolteon,8,245,184,"['volt-absorb', 'quick-feet']",['electric'],65,65,60,110,95,130
Flareon,9,250,184,"['flash-fire', 'guts']",['fire'],65,130,60,95,110,65
Porygon,8,365,79,"['trace', 'download', 'analytic']",['normal'],65,60,70,85,75,40
Omanyte,4,75,71,"['swift-swim', 'shell-armor', 'weak-armor']","['rock', 'water']",35,40,100,90,55,35
Omastar,10,350,173,"['swift-swim', 'shell-armor', 'weak-armor']","['rock', 'water']",70,60,125,115,70,55
Kabuto,5,115,71,"['swift-swim', 'battle-armor', 'weak-armor']","['rock', 'water']",30,80,90,55,45,55
Kabutops,13,405,173,"['swift-swim', 'battle-armor', 'weak-armor']","['rock', 'water']",60,115,105,65,70,80
Aerodactyl,18,590,180,"['rock-head', 'pressure', 'unnerve']","['rock', 'flying']",80,105,65,60,75,130
Snorlax,21,4600,189,"['immunity', 'thick-fat', 'gluttony']",['normal'],160,110,65,65,110,30
Articuno,17,554,261,"['pressure', 'snow-cloak']","['ice', 'flying']",90,85,100,95,125,85
Zapdos,16,526,261,"['pressure', 'static']","['electric', 'flying']",90,90,85,125,90,100
Moltres,20,600,261,"['pressure', 'flame-body']","['fire', 'flying']",90,100,90,125,85,90
Dratini,18,33,60,"['shed-skin', 'marvel-scale']",['dragon'],41,64,45,50,50,50
Dragonair,40,165,147,"['shed-skin', 'marvel-scale']",['dragon'],61,84,65,70,70,70
Dragonite,22,2100,270,"['inner-focus', 'multiscale']","['dragon', 'flying']",91,134,95,100,100,80
Mewtwo,20,1220,306,"['pressure', 'unnerve']",['psychic'],106,110,90,154,90,130
Mew,4,40,270,['synchronize'],['psychic'],100,100,100,100,100,100
Chikorita,9,64,64,"['overgrow', 'leaf-guard']",['grass'],45,49,65,49,65,45
Bayleef,12,158,142,"['overgrow', 'leaf-guard']",['grass'],60,62,80,63,80,60
Meganium,18,1005,236,"['overgrow', 'leaf-guard']",['grass'],80,82,100,83,100,80
Cyndaquil,5,79,62,"['blaze', 'flash-fire']",['fire'],39,52,43,60,50,65
Quilava,9,190,142,"['blaze', 'flash-fire']",['fire'],58,64,58,80,65,80
Typhlosion,17,795,240,"['blaze', 'flash-fire']",['fire'],78,84,78,109,85,100
Totodile,6,95,63,"['torrent', 'sheer-force']",['water'],50,65,64,44,48,43
Croconaw,11,250,142,"['torrent', 'sheer-force']",['water'],65,80,80,59,63,58
Feraligatr,23,888,239,"['torrent', 'sheer-force']",['water'],85,105,100,79,83,78
Sentret,8,60,43,"['run-away', 'keen-eye', 'frisk']",['normal'],35,46,34,35,45,20
Furret,18,325,145,"['run-away', 'keen-eye', 'frisk']",['normal'],85,76,64,45,55,90
Hoothoot,7,212,52,"['insomnia', 'keen-eye', 'tinted-lens']","['normal', 'flying']",60,30,30,36,56,50
Noctowl,16,408,158,"['insomnia', 'keen-eye', 'tinted-lens']","['normal', 'flying']",100,50,50,86,96,70
Ledyba,10,108,53,"['swarm', 'early-bird', 'rattled']","['bug', 'flying']",40,20,30,40,80,55
Ledian,14,356,137,"['swarm', 'early-bird', 'iron-fist']","['bug', 'flying']",55,35,50,55,110,85
Spinarak,5,85,50,"['swarm', 'insomnia', 'sniper']","['bug', 'poison']",40,60,40,40,40,30
Ariados,11,335,140,"['swarm', 'insomnia', 'sniper']","['bug', 'poison']",70,90,70,60,70,40
Crobat,18,750,241,"['inner-focus', 'infiltrator']","['poison', 'flying']",85,90,80,70,80,130
Chinchou,5,120,66,"['volt-absorb', 'illuminate', 'water-absorb']","['water', 'electric']",75,38,38,56,56,67
Lanturn,12,225,161,"['volt-absorb', 'illuminate', 'water-absorb']","['water', 'electric']",125,58,58,76,76,67
Pichu,3,20,41,"['static', 'lightning-rod']",['electric'],20,40,15,35,35,60
Cleffa,3,30,44,"['cute-charm', 'magic-guard', 'friend-guard']",['fairy'],50,25,28,45,55,15
Igglybuff,3,10,42,"['cute-charm', 'competitive', 'friend-guard']","['normal', 'fairy']",90,30,15,40,20,15
Togepi,3,15,49,"['hustle', 'serene-grace', 'super-luck']",['fairy'],35,20,65,40,65,20
Togetic,6,32,142,"['hustle', 'serene-grace', 'super-luck']","['fairy', 'flying']",55,40,85,80,105,40
Natu,2,20,64,"['synchronize', 'early-bird', 'magic-bounce']","['psychic', 'flying']",40,50,45,70,45,70
Xatu,15,150,165,"['synchronize', 'early-bird', 'magic-bounce']","['psychic', 'flying']",65,75,70,95,70,95
Mareep,6,78,56,"['static', 'plus']",['electric'],55,40,40,65,45,35
Flaaffy,8,133,128,"['static', 'plus']",['electric'],70,55,55,80,60,45
Ampharos,14,615,230,"['static', 'plus']",['electric'],90,75,85,115,90,55
Bellossom,4,58,221,"['chlorophyll', 'healer']",['grass'],75,80,95,90,100,50
Marill,4,85,88,"['thick-fat', 'huge-power', 'sap-sipper']","['water', 'fairy']",70,20,50,20,50,40
Azumarill,8,285,189,"['thick-fat', 'huge-power', 'sap-sipper']","['water', 'fairy']",100,50,80,60,80,50
Sudowoodo,12,380,144,"['sturdy', 'rock-head', 'rattled']",['rock'],70,100,115,30,65,30
Politoed,11,339,225,"['water-absorb', 'damp', 'drizzle']",['water'],90,75,75,90,100,70
Hoppip,4,5,50,"['chlorophyll', 'leaf-guard', 'infiltrator']","['grass', 'flying']",35,35,40,35,55,50
Skiploom,6,10,119,"['chlorophyll', 'leaf-guard', 'infiltrator']","['grass', 'flying']",55,45,50,45,65,80
Jumpluff,8,30,207,"['chlorophyll', 'leaf-guard', 'infiltrator']","['grass', 'flying']",75,55,70,55,95,110
Aipom,8,115,72,"['run-away', 'pickup', 'skill-link']",['normal'],55,70,55,40,55,85
Sunkern,3,18,36,"['chlorophyll', 'solar-power', 'early-bird']",['grass'],30,30,30,30,30,30
Sunflora,8,85,149,"['chlorophyll', 'solar-power', 'early-bird']",['grass'],75,75,55,105,85,30
Yanma,12,380,78,"['speed-boost', 'compound-eyes', 'frisk']","['bug', 'flying']",65,65,45,75,45,95
Wooper,4,85,42,"['damp', 'water-absorb', 'unaware']","['water', 'ground']",55,45,45,25,25,15
Quagsire,14,750,151,"['damp', 'water-absorb', 'unaware']","['water', 'ground']",95,85,85,65,65,35
Espeon,9,265,184,"['synchronize', 'magic-bounce']",['psychic'],65,65,60,130,95,110
Umbreon,10,270,184,"['synchronize', 'inner-focus']",['dark'],95,65,110,60,130,65
Murkrow,5,21,81,"['insomnia', 'super-luck', 'prankster']","['dark', 'flying']",60,85,42,85,42,91
Slowking,20,795,172,"['oblivious', 'own-tempo', 'regenerator']","['water', 'psychic']",95,75,80,100,110,30
Misdreavus,7,10,87,['levitate'],['ghost'],60,60,60,85,85,85
Unown,5,50,118,['levitate'],['psychic'],48,72,48,72,48,48
Wobbuffet,13,285,142,"['shadow-tag', 'telepathy']",['psychic'],190,33,58,33,58,33
Girafarig,15,415,159,"['inner-focus', 'early-bird', 'sap-sipper']","['normal', 'psychic']",70,80,65,90,65,85
Pineco,6,72,58,"['sturdy', 'overcoat']",['bug'],50,65,90,35,35,15
Forretress,12,1258,163,"['sturdy', 'overcoat']","['bug', 'steel']",75,90,140,60,60,40
Dunsparce,15,140,145,"['serene-grace', 'run-away', 'rattled']",['normal'],100,70,70,65,65,45
Gligar,11,648,86,"['hyper-cutter', 'sand-veil', 'immunity']","['ground', 'flying']",65,75,105,35,65,85
Steelix,92,4000,179,"['rock-head', 'sturdy', 'sheer-force']","['steel', 'ground']",75,85,200,55,65,30
Snubbull,6,78,60,"['intimidate', 'run-away', 'rattled']",['fairy'],60,80,50,40,40,30
Granbull,14,487,158,"['intimidate', 'quick-feet', 'rattled']",['fairy'],90,120,75,60,60,45
Qwilfish,5,39,88,"['poison-point', 'swift-swim', 'intimidate']","['water', 'poison']",65,95,85,55,55,85
Scizor,18,1180,175,"['swarm', 'technician', 'light-metal']","['bug', 'steel']",70,130,100,55,80,65
Shuckle,6,205,177,"['sturdy', 'gluttony', 'contrary']","['bug', 'rock']",20,10,230,10,230,5
Heracross,15,540,175,"['swarm', 'guts', 'moxie']","['bug', 'fighting']",80,125,75,40,95,85
Sneasel,9,280,86,"['inner-focus', 'keen-eye', 'pickpocket']","['dark', 'ice']",55,95,55,35,75,115
Teddiursa,6,88,66,"['pickup', 'quick-feet', 'honey-gather']",['normal'],60,80,50,50,50,40
Ursaring,18,1258,175,"['guts', 'quick-feet', 'unnerve']",['normal'],90,130,75,75,75,55
Slugma,7,350,50,"['magma-armor', 'flame-body', 'weak-armor']",['fire'],40,40,40,70,40,20
Magcargo,8,550,151,"['magma-armor', 'flame-body', 'weak-armor']","['fire', 'rock']",60,50,120,90,80,30
Swinub,4,65,50,"['oblivious', 'snow-cloak', 'thick-fat']","['ice', 'ground']",50,50,40,30,30,50
Piloswine,11,558,158,"['oblivious', 'snow-cloak', 'thick-fat']","['ice', 'ground']",100,100,80,60,60,50
Corsola,6,50,144,"['hustle', 'natural-cure', 'regenerator']","['water', 'rock']",65,55,95,65,95,35
Remoraid,6,120,60,"['hustle', 'sniper', 'moody']",['water'],35,65,35,65,35,65
Octillery,9,285,168,"['suction-cups', 'sniper', 'moody']",['water'],75,105,75,105,75,45
Delibird,9,160,116,"['vital-spirit', 'hustle', 'insomnia']","['ice', 'flying']",45,55,45,65,45,75
Mantine,21,2200,170,"['swift-swim', 'water-absorb', 'water-veil']","['water', 'flying']",85,40,70,80,140,70
Skarmory,17,505,163,"['keen-eye', 'sturdy', 'weak-armor']","['steel', 'flying']",65,80,140,40,70,70
Houndour,6,108,66,"['early-bird', 'flash-fire', 'unnerve']","['dark', 'fire']",45,60,30,80,50,65
Houndoom,14,350,175,"['early-bird', 'flash-fire', 'unnerve']","['dark', 'fire']",75,90,50,110,80,95
Kingdra,18,1520,243,"['swift-swim', 'sniper', 'damp']","['water', 'dragon']",75,95,95,95,95,85
Phanpy,5,335,66,"['pickup', 'sand-veil']",['ground'],90,60,60,40,40,40
Donphan,11,1200,175,"['sturdy', 'sand-veil']",['ground'],90,120,120,60,60,50
Porygon2,6,325,180,"['trace', 'download', 'analytic']",['normal'],85,80,90,105,95,60
Stantler,14,712,163,"['intimidate', 'frisk', 'sap-sipper']",['normal'],73,95,62,85,65,85
Smeargle,12,580,88,"['own-tempo', 'technician', 'moody']",['normal'],55,20,35,20,45,75
Tyrogue,7,210,42,"['guts', 'steadfast', 'vital-spirit']",['fighting'],35,35,35,35,35,35
Hitmontop,14,480,159,"['intimidate', 'technician', 'steadfast']",['fighting'],50,95,95,35,110,70
Smoochum,4,60,61,"['oblivious', 'forewarn', 'hydration']","['ice', 'psychic']",45,30,15,85,65,65
Elekid,6,235,72,"['static', 'vital-spirit']",['electric'],45,63,37,65,55,95
Magby,7,214,73,"['flame-body', 'vital-spirit']",['fire'],45,75,37,70,55,83
Miltank,12,755,172,"['thick-fat', 'scrappy', 'sap-sipper']",['normal'],95,80,105,40,70,100
Blissey,15,468,608,"['natural-cure', 'serene-grace', 'healer']",['normal'],255,10,10,75,135,55
Raikou,19,1780,261,"['pressure', 'inner-focus']",['electric'],90,85,75,115,100,115
Entei,21,1980,261,"['pressure', 'inner-focus']",['fire'],115,115,85,90,75,100
Suicune,20,1870,261,"['pressure', 'inner-focus']",['water'],100,75,115,90,115,85
Larvitar,6,720,60,"['guts', 'sand-veil']","['rock', 'ground']",50,64,50,45,50,41
Pupitar,12,1520,144,['shed-skin'],"['rock', 'ground']",70,84,70,65,70,51
Tyranitar,20,2020,270,"['sand-stream', 'unnerve']","['rock', 'dark']",100,134,110,95,100,61
Lugia,52,2160,306,"['pressure', 'multiscale']","['psychic', 'flying']",106,90,130,90,154,110
Ho-Oh,38,1990,306,"['pressure', 'regenerator']","['fire', 'flying']",106,130,90,110,154,90
Celebi,6,50,270,['natural-cure'],"['psychic', 'grass']",100,100,100,100,100,100
Treecko,5,50,62,"['overgrow', 'unburden']",['grass'],40,45,35,65,55,70
Grovyle,9,216,142,"['overgrow', 'unburden']",['grass'],50,65,45,85,65,95
Sceptile,17,522,239,"['overgrow', 'unburden']",['grass'],70,85,65,105,85,120
Torchic,4,25,62,"['blaze', 'speed-boost']",['fire'],45,60,40,70,50,45
Combusken,9,195,142,"['blaze', 'speed-boost']","['fire', 'fighting']",60,85,60,85,60,55
Blaziken,19,520,239,"['blaze', 'speed-boost']","['fire', 'fighting']",80,120,70,110,70,80
Mudkip,4,76,62,"['torrent', 'damp']",['water'],50,70,50,50,50,40
Marshtomp,7,280,142,"['torrent', 'damp']","['water', 'ground']",70,85,70,60,70,50
Swampert,15,819,241,"['torrent', 'damp']","['water', 'ground']",100,110,90,85,90,60
Poochyena,5,136,56,"['run-away', 'quick-feet', 'rattled']",['dark'],35,55,35,30,30,35
Mightyena,10,370,147,"['intimidate', 'quick-feet', 'moxie']",['dark'],70,90,70,60,60,70
Zigzagoon,4,175,56,"['pickup', 'gluttony', 'quick-feet']",['normal'],38,30,41,30,41,60
Linoone,5,325,147,"['pickup', 'gluttony', 'quick-feet']",['normal'],78,70,61,50,61,100
Wurmple,3,36,56,"['shield-dust', 'run-away']",['bug'],45,45,35,20,30,20
Silcoon,6,100,72,['shed-skin'],['bug'],50,35,55,25,25,15
Beautifly,10,284,178,"['swarm', 'rivalry']","['bug', 'flying']",60,70,50,100,50,65
Cascoon,7,115,72,['shed-skin'],['bug'],50,35,55,25,25,15
Dustox,12,316,173,"['shield-dust', 'compound-eyes']","['bug', 'poison']",60,50,70,50,90,65
Lotad,5,26,44,"['swift-swim', 'rain-dish', 'own-tempo']","['water', 'grass']",40,30,30,40,50,30
Lombre,12,325,119,"['swift-swim', 'rain-dish', 'own-tempo']","['water', 'grass']",60,50,50,60,70,50
Ludicolo,15,550,216,"['swift-swim', 'rain-dish', 'own-tempo']","['water', 'grass']",80,70,70,90,100,70
Seedot,5,40,44,"['chlorophyll', 'early-bird', 'pickpocket']",['grass'],40,40,50,30,30,30
Nuzleaf,10,280,119,"['chlorophyll', 'early-bird', 'pickpocket']","['grass', 'dark']",70,70,40,60,40,60
